name,,description,cuisine,course,diet,prep_time,ingredients,instructions
Ayala Fish Fry Recipe,,"Ayala also called as bangada is one of the tastiest fish of the whole lot. The buttery flesh makes it a great fish to fry it. Not that the curry made of this fish is less delicious, no matter how you cook this fish, itï¿½ï¿½ï¿½s super deli",South Indian Recipes,Side Dish,High Protein Non Vegetarian,Total in 35 M,"

							 		4 Fish							 		, ayala (bangada fish)							 	

							 		1-1/2 tablespoon Red Chilli powder 

							 		1/4 teaspoon Turmeric powder (Haldi) 

							 		1/2 teaspoon Fennel Powder 

							 		1 teaspoon Black pepper powder 

							 		1 teaspoon Ginger Garlic Paste 

							 		1 teaspoon Lemon juice 

Salt							 		, to taste							 	

Oil							 		, for shallow fry							 	
","To begin making the Ayala Fish Fry Recipe, wash and clean fish well. Leave it whole. Score the fish on itï¿½ï¿½ï¿½s skin on both sides.In a bowl squeeze lime juice. Add red chilli powder, turmeric powder, fennel powder, black pepper powder, ginger-garlic paste, salt and mix well. Make a thick paste.Rub the spice paste all over the fish including the slit areas on both the sides.Cover and let the fish marinate in the fridge for 15 minutes.Heat few tablespoons oil in a pan. Shallow fry the whole fishï¿½ï¿½on medium flameï¿½ï¿½until golden brownï¿½ï¿½on both sides.Serve hot with lime wedges and onion carrot slices if preferred.Serveï¿½ï¿½Ayala Fish Fry withï¿½ï¿½Mixed Vegetable Sambar,ï¿½ï¿½Steamed Riceï¿½ï¿½andï¿½ï¿½Elai"
Kongunadu Style Senai Kilangu Masala Recipe - Yam in Spicy Gravy,,Kongunadu Style Senai Kilangu Masala Recipe (Yam in Spicy Gravy) is a recipe that is from Tamil Nadu. Kongunadu is a part of Tamil Nadu cuisine which is famous for its spicy flavor. In this recipe we have used different spice mixtures that are roasted well and ground into a spicy paste and cooked along with yam.,Tamil Nadu,Side Dish,Vegetarian,Total in 40 M,"

							 		300 grams Elephant yam (Suran/Senai/Ratalu)							 		, sking peeled and sliced thin							 	

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 sprig Curry leaves 

Salt							 		, to taste							 	

Oil							 		, for cooking							 	
For the Spice Mixture

							 		1 inch Cinnamon Stick (Dalchini) 

							 		4 cloves Garlic 

							 		1 inch Ginger							 		, chopped							 	

							 		2 tablespoon Poppy seeds 

							 		2 tablespoon Coconut Oil 

							 		2 Dry Red Chillies 

							 		1 sprig Curry leaves 
","To begin making the Kongunadu Style Senai Kilangu Masala Recipe, we will first pressure cook the yam with water, turmeric powder, salt for about 2 whistle.Release the pressure naturally, and drain the excess water and keep the cooked yam aside.Heat a flat skillet with oil, add curry leaves and allow it splutter for few seconds, add cinnamon stick, cloves and let it saute for few seconds.Add dry red chillies, garlic, and ginger and saute until it softens. Later add poppy seeds and grated coconut and saute until they turn light brown.Switch off the heat and allow it to cool down. Transfer it to a mixing jar and add little water and grind it into a smooth paste.Heat the same pan again with oil, add mustard seeds and curry leaves and allow it splutter and crackle for few seconds.Add your ground paste and give it a stir. Finally add cooked yam and mix the masalas well. Cook until the masala has reduced and you get a dry mixture.Check for salt and adjust the seasoning according to your palate and serve hot.Serve theï¿½ï¿½Kongunadu Style Senai Kilangu Masala Recipeï¿½ï¿½along withï¿½ï¿½Tawa Paratha,ï¿½ï¿½Palak Dalï¿½ï¿½andï¿½ï¿½Steamed riceï¿½ï¿½t"
Shahi Egg Curry Recipe In Tomato & Cashew Gravy ,,"The taste of Dhaba food is phenomenal and we usually find these dhabas on highways. They cook some amazing dishes in traditional style which enhances the flavour of the dish. Dhaba Style Egg Curry is one such recipes which is spicy, tasty and full of flavours.",North Indian Recipes,Dinner,Eggetarian,Total in 90 M,"

							 		4 Whole Eggs 

							 		1-1/2 cups Homemade tomato puree 

							 		2 Onions							 		, finely chopped							 	

							 		6 cloves Garlic 

							 		1 inch Ginger 

							 		1 Bay leaf (tej patta) 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Red Chilli powder 

							 		1 teaspoon Garam masala powder 

							 		1 teaspoon Kasuri Methi (Dried Fenugreek Leaves) 

							 		1/4 cup Cashew nuts							 		, ground into paste							 	

Extra Virgin Olive Oil							 		, for cooking							 	

							 		2 Salt							 		, to taste							 	
","To begin making the Shahi Egg Curry Recipe, prep all the ingredients and keep them ready, hard boil the eggs, prepare the make the tomato puree. Follow - How To Make Tomato PureeInto a pestle and mortar, add the ginger and garlic and pound to make a coarse mixture.Into a pan, add in the olive oil, add the onions, pounded ginger and garlic and saute for a few seconds until the onions have softened.ï¿½ï¿½Take care not to caramelize the onions.ï¿½ï¿½Once the onions have softened, add in the tomato puree, bay leaf, turmeric powder, red chili powder and garam masala powder.Stir in the cashew nut paste and the boiled eggs. Cover the pan and simmer for about 5 to 10 minutes until the masalas come together to make a delicious egg curry.Once done, stir in the kasuri methi into the Shahi Egg Curry and serve.Serve thisï¿½ï¿½Shahi Egg Curry Recipeï¿½ï¿½along withï¿½ï¿½Hyderabadi Vegetable Biryaniï¿½ï¿½orï¿½ï¿½Pudina Lahsun Laccha Parathaï¿½ï¿½andï¿½ï¿½"
Kaju Butter Masala Recipe,,"Paneer Butter Masala or Chicken Butter Masala are the dishes we usually prepare for any special occasions. Kaju Butter Masala is an amazing twist to the Butter Masala recipe, where the roasted whole cashews are added.",North Indian Recipes,Lunch,Vegetarian,Total in 30 M,"

							 		1 cup Cashew nuts 

							 		4 Tomatoes 

							 		1 tablespoon Ginger Garlic Paste 

							 		1 Green Chilli							 		, slit							 	

							 		1 teaspoon Kashmiri Red Chilli Powder 

							 		1 teaspoon Garam masala powder 

							 		1 Bay leaf (tej patta) 

							 		1 teaspoon Kasuri Methi (Dried Fenugreek Leaves)							 		, crushed for garnish							 	

							 		3 tablespoons Fresh cream 

							 		1 tablespoon Butter (Salted) 

Salt							 		, to taste							 	
","To begin making Kaju Butter Masala Recipe, wash and blanch the tomatoes in enough water, once cool, remove the skin and make a smooth paste along with 8 cashews using a mixer grinder. Keep aside.Heat butter in a heavy bottomed pan, add the whole cashews and fry until they turn golden and remove them into a plate. Keep aside until further use.To the same pan add the bay leaf, ginger garlic paste and saute for a minute.ï¿½ï¿½Add the tomato cashew puree, green chilli and cook for 2 minutes.Add the red chilli powder, 2 cups water, season with salt and let it simmer for 5 minutes until the gravy becomes thick and comes together.Add the fried cashews, garam masala powder and simmer for 5 minutes so that the cashews become a little soft.Add the cream and mix well. Simmer for another 2 minutes and switch off the heat.Slightly crush the kasuri methi between your palms and add it as a garnish over the prepared Kaju Butter Masala.Serve theï¿½ï¿½Kaju Butter Masala Recipe, along withï¿½ï¿½Butter Naan,ï¿½ï¿½Tandoori Aloo, cious Weekend Lunch."
Chenakayi Erissery Recipe - Yam Erissery,,"Erissery is one of the famous dish from Kerala cuisine and an integral part of any Onam Sadya. The base of the erissery is a blend with fresh coconut, cumin, pepper, and chillies.",Kerala Recipes,Side Dish,Vegetarian,Total in 30 M,"

							 		2 cups Elephant yam (Suran/Senai/Ratalu)							 		, scraped well and cubed to bite size							 	

							 		1/4 teaspoon Turmeric powder (Haldi) 

Salt							 		, to taste							 	
For Grinding

							 		1 cup Fresh coconut							 		, grated							 	

							 		3 Green Chillies							 		, (adjust)							 	

							 		1 teaspoon Cumin seeds (Jeera) 

							 		1/2 teaspoon Whole Black Peppercorns 
For Tempering

							 		1 teaspoons Coconut Oil 

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 sprig Curry leaves 
","To begin making the Chenakayi Erissery Recipe, prepare all the ingredients required to make this dish.Take a heavy bottomed pan, add yam along with little water, turmeric and salt. Cover the pan and cook till it becomes soft.Meanwhile, prepare the masala. Take half of the coconut mentioned along with cumin, pepper, green chilli and grind to a coarse paste adding 2-3 tablespoon of water. Keep it aside.When the yam pieces are cooked well, mash them lightly using the back of the ladle.To the semi-mashed yam pieces, add the ground masala, salt and sprinkle aï¿½ï¿½little water (if the water added initially has dried out). Mix everything well.ï¿½ï¿½Keep the flame on low and cover and cook for 4-5 minutes so that all the flavors are infused.ï¿½ï¿½Meanwhile, heat another pan and toast the coconut on low flame until golden brown. Keep aside.ï¿½ï¿½Next, Prepare the tempering. Add coconut oil. When it is hot, add mustard seeds. Once they splutter, add curry leaves and switch off.ï¿½ï¿½Finally, mix both the roasted coconthe Yam erissery and gently give a stir. Reserve a little amount of roasted coconut for garnish.Garnish with roasted coconut and serveï¿½ï¿½Chenakayi Erissery Recipe along withï¿½ï¿½Steamed Rice,ï¿½ï¿½Malabari Parottaï¿½ï¿½andï¿½ï¿½Kerala "
Lauki Wadi Tarkari Recipe - Bengali Style Moong Dal Dumplings & Bottle Gourd Sabzi,,"Lauki Wadi Tarkari Recipe is the Bengali Style Moong Dal Dumplings & Bottle Gourd Sabzi that is cooked as a side dish to pair with rice or Indian flat breads. I have used the homemade sun dried badi made with moong dal to prepare this sabzi, and then deep fried them before making the tarkari.",Bengali Recipes,Side Dish,High Protein Vegetarian,Total in 35 M,"
For Wadi

							 		1 cup Yellow Moong Dal (Split)							 		, soaked for at least 4 hours or overnight							 	

							 		1 teaspoon Ginger							 		, grated							 	

							 		1 teaspoon Cumin seeds (Jeera) 

							 		1 teaspoon Red Chilli powder 

							 		1 pinch Asafoetida (hing) 

Salt							 		, to taste							 	
Other Ingredients

							 		1 Bottle gourd (lauki)							 		, cut in cubes							 	

							 		1 Tomato							 		, chopped							 	

							 		1 Onion							 		, chopped							 	

							 		2 Green Chillies							 		, chopped							 	

							 		1 teaspoon Ginger							 		, grated							 	

							 		1 teaspoon Panch Phoran Masala 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Coriander Powder (Dhania) 

Salt							 		, to taste							 	

							 		1 teaspoon Sugar 

							 		1 tablespoon Mustard oil 

							 		2 tablespoons Oil							 		, to fry wadis							 	

Coriander (Dhania) Leaves							 		, chopped							 	
","To begin making Lauki Wadi Tarkari Recipeï¿½ï¿½, prepare wadis first. Wash and soak moong dal in enough water for about 3-4 hours or overnight.Drain excess water and pulse it a couple of times to make a fine paste in a food processor.Add the remaining ingredients listed under wadi like the ginger, cumin seeds, dry red chillies, hing, salt to taste and whisk to combine. Arrange a baking tray with aluminium foil or lined with a parchment paper.Using a piping bag or zip lock bag, drop out small roundels.Dry them under the sunlight for 3-4 days or until they are completely dried. Store in an airtight container and use them when needed. This can be stored up to 6 months.*For Lauki Wadi/Badi TarkariOnce you have the homemade or store bought wadis, heat oil for frying in a pan and saute the wadis. Drain on a kitchen towel to absorb excess oil. Keep them aside.Heat oil in a pan and add panch phoran masala on a low heat. Saute for few seconds and then add ginger and onions.ï¿½ï¿½Stir until the onions are light brown.Nreen chillies and tomatoes, stir and add turmeric powder, salt and sugar. Stir well on a medium heat to cook tomatoes.Once the tomatoes are soft and mushy, add in lauki and cook covered until lauki is soft. Mine took about 10 minutes.Add crushed or whole wadis,stir to combine and cook for few minutes more.Removeï¿½ï¿½Lauki Wadi Tarkari from heat and put it into a serving bowl, garnish with chopped coriander leaves. Serve hot.Serveï¿½ï¿½Lauki Wadi Tarkari Recipeï¿½ï¿½along withï¿½ï¿½Pudina Lahsun Laccha Parathaï¿½ï¿½andï¿½ï¿½Mooli Raita Recipeï¿"
Karnataka Style Sandige Huli Recipe (Toor dal dumplings in Gravy Recipe) ,,"Karnataka Style Sandige Huli Recipe (Toor dal dumplings in Gravy Recipe) is a high rich protein dish. It is a dal curry made with toor dal without any vegetables. The toor dal is ground and mixed with fresh coconut and coriander leaves, which is shaped into balls and simmered with the same toor dal curry. This dish is famous among the ï¿½ï¿½ï¿½Madhwa Brahminï¿½ï¿½ï¿½ community and is prepared traditionally on ï¿½ï¿½ï¿½Devara samarad",Karnataka,Lunch,Vegetarian,Total in 230 M,"

							 		1 cup Arhar dal (Split Toor Dal) 

							 		2 Green Chilli							 		, chopped							 	

							 		2 tablespoon Fresh coconut							 		, grated							 	

							 		1 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Jaggery 

							 		1/2 cup Tamarind Water 

							 		1 teaspoon Asafoetida (hing) 

Salt							 		, to taste							 	
To temper

							 		1 teaspoon White Urad Dal (Split) 

							 		2 cloves Garlic							 		, chopped							 	

							 		1 sprig Curry leaves 

							 		1 tablespoon Ghee 
","To begin preparing Karnataka Style Sandige Huli Recipe, soak the dal in water for at least 3 hours and keep it.ï¿½ï¿½In a grinder add the dal without water and green chili to a coarse paste. Take more than half of the mixture and keep it aside in a bowl.Add some more water into the mixer and grind the mixture to a smooth paste and reserve for later use.To the coarsely ground dal mixture, add coconut grated, chopped coriander leaves hing, turmeric and mix well.Heat a kadai with oil, add mustard seeds allow it splutter for 10 seconds. Add the mixed toor dal mixture and keep sautï¿½ï¿½ing for 2 minutes. Switch off the heat, allow it to rest for some time and start shaping them into balls.Heat a sauce pan with ghee, add mustard seeds and allow it to splutter for 10 seconds.Add the smoothly ground dal mixture, with chopped coriander, jaggery, tamarind water, salt and turmeric powder.You can add some more water to make the consistency thin. Check for salt and add the dumplings into the dal mixture. Allow it to boilminutes and switch off the heat.To temper, heat a small tempering kadai with oil and add the urad dal, garlic and saute until they become light brown. Add curry leaves and let it splutter and immediately pour it over the dal and serve.ï¿½ï¿½Serve the Sandige Huli Recipe along with hot steamed rice,ï¿½ï¿½palyaï¿½ï¿½andï¿½ï¿½Crispy Palak Pakora Recipeï¿½ï¿½to comp"
Karnataka Style Avarekalu Pulao Recipe - Avarekalu Pulao,,"Avarekalu Pulao Recipeï¿½ï¿½is a spicy Karnataka Style Pulao made using the fresh avarekalu or hyacinth beans.ï¿½ï¿½Hyacinth Beans are called the Avarekalu in Kannada. Avarekalu are seasonal beans, available in the winter months and many dishes are made usi",Karnataka,Dinner,Vegetarian,Total in 30 M,"

							 		1-1/2 cups Basmati rice							 		, soaked for 10 minutes							 	

							 		3/4 cup Avarekalu / Lilva Beans 

							 		1 Onion							 		, thinly sliced							 	

							 		1 Tomato							 		, finely chopped							 	

							 		2 teaspoons Coriander Powder (Dhania) 

							 		1 teaspoon Red Chilli powder 

							 		1 teaspoon Garam masala powder 

							 		1 Bay leaf (tej patta) 

							 		1 Cinnamon Stick (Dalchini) 

							 		2 Green Chillies							 		, slit							 	

							 		1 tablespoon Ghee 

Salt							 		, to taste							 	

							 		2 sprig Mint Leaves (Pudina)							 		, for garnish							 	
Ingredients for the masala paste

							 		1 Cinnamon Stick (Dalchini) 

							 		2 Cloves (Laung) 

							 		1 Cardamom (Elaichi) Pods/Seeds 

							 		8 cloves Garlic 

							 		2 inch Ginger 

							 		1 Green Chilli 

							 		1/2 cup Mint Leaves (Pudina) 

							 		1/4 cup Coriander (Dhania) Leaves 
","To begin makingï¿½ï¿½Avarekalu Pulao Recipe-Hyacinth Beans Pulao, wash and soak the basmati rice in enough water for 10 minutes.Now, add all the ingredients mentioned for making the masala paste including cinnamon stick, clove, cardamom, garlic, ginger, green chilli, mint leaves, coriander leaves, and grind it into a smooth paste adding little water using a mixer grinder. Keep it aside.Heat ghee in a pressure pan, add the bay leaf, cinnamon stick and let the ghee become aromatic.Add the sliced onion and saute until it turns slightly brown.Add the slit green chillies, tomatoes and saute until the tomatoes turn a little soft.Add the ground masala paste, saute until the raw smell goes away. This will take about 3 to 4 minutes.After 3 to 4 minutes, add the coriander powder, red chilli powder, garam masala powder and saute until the ghee separates out. This will again take some 3 to 4 minutes.Now, add the fresh avarekalu or hyacinth beans, saute for 2 minutes.ï¿½ï¿½Drain the water from the rice, add it to the pan well.Add 3 cups of water, season with salt and bring theï¿½ï¿½Avarekalu Pulao to a rolling boil.Now, close theï¿½ï¿½Avarekalu Pulaoï¿½ï¿½with the lid, and pressure cook for one whistle on medium heat, switch off the heat and let the pressure release on its own.Once the pressure is fully released, open the lid, add the chopped mint leaves, fluff up the Avarekalu Pulao gently using a fork and it is ready to be served.Serveï¿½ï¿½Avarekalu Pulao Recipeï¿½ï¿½along withï¿½ï¿½Tomato Onion Cucumber Raita,ï¿½ï¿½Satvik Carrot Sprout Saladï¿½ï¿½and a roastedï¿½ï¿½Papadï¿½ï¿½for a weekday dinner.ï¿½ï¿½You can also pa"
Tofu Green Pulao Recipe,,Tofu Green Pulao Recipe is a nutritious dish with green leafy vegetables and goodness of tofu. The pulao gets a new flavor with the richness of tofu and makes it even more tastier with spinach in it.,Indian,Lunch,Vegetarian,Total in 60 M,"

							 		1 cup Spinach Leaves (Palak)							 		, finely chopped							 	

							 		1 cup Methi Leaves (Fenugreek Leaves)							 		, finely chopped							 	

							 		1/2 cup Coriander (Dhania) Leaves							 		, finely chopped							 	

							 		1/2 cup Mint Leaves (Pudina)							 		, finely chopped							 	

							 		1/2 cup Spring Onion Greens							 		, finely chopped							 	

							 		1/2 cup Green peas (Matar) 

							 		12 Green Bell Pepper (Capsicum)							 		, finely chopped							 	

							 		1/2 cup Green beans (French Beans)							 		, finely chopped							 	

							 		1/2 cup Tofu							 		, cut into cubes							 	

							 		4 Green Chillies							 		, finely chopped							 	

							 		1/4 teaspoon Cumin seeds (Jeera) 

							 		1 tablespoon Ghee 

Oil							 		, as required							 	

							 		2 inch Cinnamon Stick (Dalchini) 

							 		2 Black cardamom (Badi Elaichi) 

							 		4 Cardamom (Elaichi) Pods/Seeds 

							 		6 Cloves (Laung) 

							 		2 Bay leaves (tej patta) 

							 		1 tablespoon Cashew nuts							 		, halved							 	

							 		1 cup Basmati rice 

Salt							 		, to taste							 	
","To begin with the Tofu Green Pulao Recipe, first wash and soak basmati rice for 30 minutes and then strain the water using muslin cloth and keep it aside.Meanwhile in a blender combine spinach leaves, methi leaves, coriander leaves, green chillies and blend till it forms a smooth puree.Add oil and ghee in aï¿½ï¿½pressure cooker, once hot; add cumin seeds, bay leaves, black cardamom, cloves, green cardamom, cinnamon stick.After they begin to roast, add tofu cubes, cashew and fry for about 20 seconds.Now add capsicum, green peas, french beans, finely chopped spring onions and soaked double beans. After a while add in the basmati rice and stir fry for a minute.Add the prepared green puree and let it cook for a minute. Add 2 to 3 cups of water and mix everything well.Close the cooker with a lid and let it cook till the cooker release 2 to 3 whistles. Once done, let the pressure release normally.Open the lid, servie it in a bowl and garnish it with chopped coriander leaves.Thisï¿½ï¿½Tofu Green Pulaoï¿½ï¿½can be seurani Raitaï¿½ï¿½or any other raita of your choice for your weekday lunch or din"
Kurkuri Bhindi With Spicy Tomato Yogurt Gravy Recipe,,"Kurkuri Bhindi With Spicy Tomato Yogurt Gravy is a lip smacking side dish which can be served with any dal or kadhi for a wholesome meal. It is spicy, tangy and the crispy bhindi in it adds to the taste and flavour.",North Indian Recipes,Lunch,Vegetarian,Total in 60 M,"
For crispy bhindi

							 		250 grams Bhindi (Lady Finger/Okra) 

Oil							 		, for deep frying							 	

							 		2 tablespoons Gram flour (besan) 

Salt							 		, as needed							 	

							 		1/2 teaspoon Red Chilli powder 

							 		1/2 teaspoon Chaat Masala Powder 

							 		1 tablespoon Water 
For the gravy

Oil							 		, as required							 	

							 		1/2 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1/2 teaspoon Cumin seeds (Jeera) 

							 		1/4 teaspoon Asafoetida (hing) 

							 		1 tablespoon Ginger Garlic Paste 

							 		1 to 2 Green Chillies							 		, finely chopped							 	

							 		1 Onion							 		, thinly sliced							 	

							 		1/2 cup Curd (Dahi / Yogurt)							 		, whisked							 	

							 		1 Tomato							 		, finely chopped							 	

							 		1 teaspoon Red Chilli powder 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Coriander Powder (Dhania) 
","To begin making the Kurkuri Bhindi With Spicy Tomato Yogurt Gravy, firstly we will make the crispy bhindi.Wash the bhindi, make a cut, take out the seeds and then thinly slice all of the bhindis.Take a mixing bowl, add the bhindi and all the ingredients mentioned under ï¿½ï¿½ï¿½for the crispy bhindiï¿½ï¿½ï¿½.Heat oil in a deep frying pan, and deep fry the bhindi till they become crisp. Take them out on a absorbent paper to absorb the excess oil.Once done, keep them aside.Next heat oil in a heavy bottomed pan and add mustard seeds, cumin seeds, hing and ginger garlic paste.After 30 seconds, add the green chillies and onions. Cook till the onions becomes soft and translucent.Next, add the tomatoes and cook for about 3 minutes or till the tomatoes gets mushy.Add all the dry masalas including red chilli powder, turmeric powder, salt and coriander powder.Cook for about 5 to 6 minutes and then add curd in it. Stir continuously for about a minute. Add water if required.Let it cook for about 5 minutes more and when iproperly, add the chopped coriander leaves.Now mix the crispy bhindi on the gravy, give a stir and serve hot.ï¿½ï¿½Serve Kurkuri Bhindi With Spicy Tomato Yogurt Gravy along withï¿½ï¿½Panchmel Dal,ï¿½ï¿½Phulkasï¿½ï¿½and Rice for a perfe"
Karwar Style Khatkhate Recipe (Mixed Vegetable Curry With Toor Dal & Coconut),,Karwar Style Khatkhate Recipe (Mixed Vegetable Curry With Toor Dal & Coconut)ï¿½ï¿½is basically a konkani mixed vegetable curry with toor dal and coconut. This dish is common in almost all konkani hou,Karnataka,Lunch,Vegetarian,Total in 30 M,"

							 		1/2 cup Arhar dal (Split Toor Dal) 

							 		2 cups Mixed vegetables							 		, (beans, carrot, potato, peas, drumstick, radish, taro root)							 	

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		2 tablespoons Jaggery							 		, adjustable ï¿½ï¿½							 	

							 		5 Kokum (Malabar Tamarind)							 		, soak in hot water and extract juiceï¿½ï¿½							 	

Salt							 		, to tasteï¿½ï¿½							 	
For the gravyï¿½ï¿½

							 		1/2 Fresh coconut							 		, grated							 	

							 		4 Dry Red Chillies 

							 		1/2 teaspoon Coriander Powder (Dhania) 

							 		8 Sichuan peppercorns 
For temperingï¿½ï¿½

							 		2 teaspoons Oil 

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1/2 teaspoon Cumin seeds (Jeera) 

Curry leaves					","To begin making the Karwar Style Khatkhate Recipe, wash and pressure cook toor dal with a pinch of turmeric for 2-3 whistles. Once cooked, mash it well and keep aside.ï¿½ï¿½Dice the vegetables and cook them with enough water in a pressure cooker for one whistle. Turn off the flame and immediately release the pressure. They should just be cooked. make sure you don't overcook them.Meanwhile, grind coconut, red chillies, coriander powderï¿½ï¿½ and turmeric powder with little water to a smooth paste. Add sichuan pepper and grind the paste again for few more seconds.When the vegetables are almost done, add ground coconut paste and mashed toor dal. Add salt, kokam and jaggery. Mix everything well and bring to boil .Finally prepare the tempering for the curry. Heat oil in a kadhai. Add mustard seeds, cumin seeds and curry leaves. Cook for about a minute and then pour it on Khatkhate.ï¿½ï¿½Serve Karwar Style Khatkhate Recipe (Mixed Vegetable Curry With Toor Dal & Coconut) along withï¿½ï¿½Karwar Style Lasani Kadhiï¿½iýfor a weekday meal."
Andhra Style Majjige Saaru/Salla Charu Recipe (Spicy Yogurt Curry Recipe),,Andhra Style Majjige Saaru/Salla Charu Recipe (Spicy Yogurt Curry Recipe) is a quick curry made with creamy yogurt that is mixed with caramelized soft onions and curry leaves. This is the best curry during the summer season when you feel like eating something light and refreshing to be served along with steamed rice.,Andhra,Lunch,Vegetarian,Total in 25 M,"

							 		1 cup Hung Curd (Greek Yogurt) 

							 		1 Onion							 		, sliced							 	

							 		1 teaspoon Cumin seeds (Jeera) 

							 		1 pinch Asafoetida (hing) 

							 		1 sprig Curry leaves 

							 		1 inch Ginger							 		, sliced							 	

							 		1 Green Chilli 

							 		1 teaspoon Turmeric powder (Haldi) 

Oil 

Salt							 		, to tasteï¿½ï¿½						","To begin making the Majjige Saaru/Salla Charu, heat a flat skillet with oil, add cumin seeds and allow it splutter for 10 seconds.Add curry leaves, hing and leave the curry leaves to crackle for 10 seconds.Add in the chopped onions, ginger and green chilli, saute until the onions turn translucent. Once done switch off the heat. And allow the onions to cool down completely.In a bowl take curd and mix it with little water to create a flowing consistency but not too thin. Add the sautï¿½ï¿½ed onions and mix well and serve.Serve the Majjige Saaru/Salla Charu along withï¿½ï¿½steamed rice,ï¿½ï¿½Andhra Style Davva Aava koora Recipeï¿½ï¿½,Radish Greens Poriyal Recipeï¿½ï¿½to go along with it for a co"
Masala Vada Curry Recipe - Chana Dal Vada Curry Recipe,,Masala Vada Curry Recipe also known as the Chana Dal Vada curry is a delicious South Indian curry made from masala vada cooked in a tomato onion gravy.,South Indian Recipes,Lunch,Vegetarian,Total in 60 M,"
To make the base for the curry

							 		1/2 cup Chana dal (Bengal Gram Dal) 

							 		1 Dry Red Chilli 

							 		5 Curry leaves 

							 		1/2 teaspoon Fennel seeds (Saunf) 
To make the curry

							 		2 teaspoons Oil 

							 		1 inch Cinnamon Stick (Dalchini) 

							 		2 Cloves (Laung) 

							 		3 Cardamom (Elaichi) Pods/Seeds 

							 		2 Whole Black Pepper Corns 

							 		1 Bay leaf (tej patta) 

							 		1 Green Chilli							 		, slit							 	

							 		1 sprig Curry leaves 

							 		1 Onion							 		, finely chopped							 	

							 		1 inch Ginger							 		, finely chopped							 	

							 		4 cloves Garlic							 		, finely chopped							 	

							 		1/2 cup Homemade tomato puree							 		, chopped							 	

							 		1/4 teaspoon Turmeric powder (Haldi) 

							 		1/2 teaspoon Red Chilli powder 

							 		1 teaspoon Coriander Powder (Dhania) 

Salt							 		, to taste							 	

							 		4 sprig Mint Leaves (Pudina)							 		, or coriander leaves as required							 	
","To begin making the Masala Vada Curry Recipe/ Chana Dal Vada Curry recipe, thoroughly wash and soak chana dal for 2 hours.Once the dal is soaked, coarse grind chana dal with the ingredients for making the base -dry red chili, curry leaves, fennel seeds and salt. Just sprinkle water while grinding, the masala vada batter should be thick.Spoon the masala vada batter on a Idli plates and steam it exactly like how we steam Idli. Or you can pan fry the Vada batter in a paniyaram pan with a little oil until it browned and crisp. The later gives a delicious taste to the Masala Vada Curry.Ensure you drizzle oil while pan frying the vada in the paniyaram pan.Meantime, we can start making the curry. Heat oil in a heavy bottomed pan on medium flame, add whole black pepper, cloves, cinnamon, bay leaf, slit green chili, curry leaves, ginger, garlic and onions. Make sure to remove few seeds from green chili if you want to make it less spicy.Once the onion turns golden, add the tomato puree and allï¿½ï¿½the masala powders -meric powder, red chili powder, coriander powder, chili powder and salt. Let it cook for 2 to 3 minutes until the masala curry comes to a brisk boil.Add required water and let the curry masala cook for a few minutes. Once the masala is cooked, drop in the masala vada into the curry mixture.Cover it with a lid and cook the Masala Vada Curry on a medium flame. The masala vada curry will absorb all the water and become thick. This will take around 5 to 7 minutes.Finally add chopped mint leaves and give the Masala Vada Curry a stir and serve.Serve Masala Vada Curry along withï¿½ï¿½Tawa Paratha,ï¿½ï¿½Palak Raitaï¿½ï¿½andï¿½ï¿½Satvik Carrot Sprout Saladï¿½ï¿½for a weekday meal. You can also serve this curry along withï¿½ï¿½Ghee Roast Dosaï¿½ï¿½or aï¿½ï¿"
